player,school,gp,mpg,bpm,class,birthdate,pick
Sam Silverstein,Cal Baptist,32,25.7469,3.34267,Jr,2001-10-15,
Jordan Jefferson,Little Rock,22,24.2217,-2.60963,Sr,2002-10-15,
RJ Melendez,Mississippi St.,34,22.3971,4.4633,Sr,2002-12-03,
Chris Walker,Binghamton,29,30.9313,-2.66287,Jr,2002-10-15,
Ben Schwieger,Northern Iowa,32,30.6091,0.84402,Jr,2002-10-15,
Ayodele Taiwo,Howard,24,10.6464,-1.06235,Jr,2002-12-28,
Julius Rollins,Western Illinois,28,29.4548,-4.50955,Jr,2002-10-15,
Akili Evans,Austin Peay,18,11.9526,-5.96235,Jr,2002-10-15,
Kanye Jones,USC Upstate,1,21.6500,-13.3961,Sr,2002-10-15,
Devin McGlockton,Vanderbilt,33,25.0333,8.72936,Jr,2003-03-27,
Tyson Degenhart,Boise St.,36,33.5595,6.59183,Sr,2002-10-13,
Kobe Young,Cal St. Fullerton,24,25.6038,-7.18035,Jr,2002-10-15,
RJ Keene,Boise St.,35,18.6750,6.87342,Jr,2002-10-15,
Jaeden Zackery,Clemson,34,35.4647,6.55084,Sr,2001-08-29,
Leonardo Bettiol,Abilene Christian,29,25.8281,-0.642204,Jr,2002-09-26,
Jayden Nunn,Baylor,33,28.0882,4.66638,Sr,2003-05-07,
Nick Kern,Penn St.,31,25.5710,4.73771,Sr,2002-10-15,
Jalen Breazeale,Morehead St.,19,16.5045,-9.33512,Jr,2002-10-15,
Jordan Gainey,Tennessee,38,27.8395,6.3535,Sr,2002-06-26,
Keshon Gilbert,Iowa St.,29,31.5759,3.97269,Sr,2003-06-30,
Jalen DeLoach,Loyola Chicago,36,13.9459,4.71409,Sr,2002-04-02,
Nick Davidson,Nevada,33,33.2000,6.27621,Jr,2002-10-15,
Duncan Powell,Georgia Tech,33,29.5061,1.64563,Jr,2002-07-30,
Burke Chebuhar,Notre Dame,13,6.4154,5.80553,Sr,2002-10-15,
Brandon Johnson,Miami FL,31,29.8129,1.62863,Sr,2002-01-15,
Blane St. Clair,Army,7,3.7875,-11.6626,Sr,2002-10-15,
Blake Barker,Army,31,20.8455,-5.4404,Sr,2002-10-15,
"Corey Floyd, Jr.",Providence,29,28.9310,1.80723,Jr,2004-01-14,
Sam Alajiki,Oral Roberts,19,26.8909,-3.97465,Sr,2002-11-12,
Cole Bott,Texas,6,3.6500,5.10479,Jr,2002-10-15,
Marsalis Roberson,UC Davis,1,2.8000,-6.97717,Jr,2002-10-15,
Kyrell Luc,Longwood,29,28.0531,0.709847,Sr,2002-05-21,
Caleb Kenney,Holy Cross,29,27.5774,-3.95694,Sr,2003-01-03,
Saint Thomas,USC,35,33.8629,4.68629,Sr,2003-05-01,
Ramon Walker Jr.,Houston,8,11.5375,3.42881,Sr,2002-10-15,
Tyrese Hunter,Memphis,32,34.0344,3.11634,Sr,2003-08-11,
Ja'Vier Francis,Houston,38,15.6553,8.58499,Sr,2003-10-20,
Maximus Edwards,Duquesne,31,19.7375,-0.551747,So,2002-10-15,
Dominic Muncey,San Diego,19,6.9700,-4.90777,Sr,2002-10-15,
Michael Katsock,Davidson,4,2.2000,-1.50265,Sr,2002-05-21,
Malik Lamin,Southern Utah,27,10.4200,-3.12822,Sr,2002-10-15,
Will Felton,North Carolina A&T,5,14.2167,-4.52426,Jr,2002-10-15,
Demari Williams,Houston Christian,17,17.1842,-5.48341,So,2002-10-15,
Jamiya Neal,Creighton,36,34.2222,4.98082,Sr,2003-04-04,
Isaiah Walker,Belmont,32,33.0152,1.84884,Jr,2002-10-15,
Will Richard,Florida,40,31.6350,9.61457,Sr,2002-12-24,56
Broc Bidwell,Campbell,1,5.2000,-1.55182,Sr,2001-10-18,
Kaleb Washington,Florida A&M,20,24.3667,-10.1917,Jr,2002-10-15,
Malachi Smith,Dayton,32,27.7485,0.948802,Sr,2002-11-06,
Ben Middlebrooks,N.C. State,30,21.6467,4.58844,Sr,2002-10-16,
Marques Gates,Houston Christian,6,0.9625,-27.1153,Jr,2003-11-01,
Ja'Heim Hudson,Auburn,27,5.9630,6.10928,Jr,2002-10-15,
Jackie Johnson III,Fordham,32,30.2697,-0.706493,Sr,2002-12-20,
Miles Kelly,Auburn,38,28.1895,6.60017,Sr,2003-01-26,
Jalon Moore,Oklahoma,34,30.3294,0.630238,Sr,2003-04-10,
"Dallan ""Deebo"" Coleman",UCF,37,23.3324,3.00883,Sr,2001-09-23,
Adam Comer,Charleston,14,3.0400,-0.819852,Sr,2003-02-07,
Jack Miller,Charleston,6,1.6714,-16.6166,Sr,2001-10-02,
Michael Folarin,St. Bonaventure,9,8.0000,1.92462,Jr,2001-07-18,
Jarvis Moss,Radford,31,29.0970,1.53472,Sr,2002-10-15,
Drissa Traore,Rhode Island,30,12.5839,-1.53616,Sr,2002-10-15,
Enoch Boakye,Villanova,36,22.8722,4.38144,Sr,2003-03-24,
Justin Rochelin,UC San Diego,33,19.2829,0.77586,So,2002-10-15,
Rafael Pinzon,Bryant,29,33.6968,-3.45988,Sr,2002-11-08,
Bobby Hurley,Arizona St.,10,4.8300,1.22125,Sr,2002-10-15,
Demarshay Johnson Jr.,San Diego St.,14,4.4267,0.453624,Jr,2002-10-15,
Giovanni Emejuru,George Mason,35,16.1861,2.74477,Jr,2002-12-21,
Wesley Cardet,Providence,25,21.3120,-1.73589,Sr,2001-09-08,
Kehlin Farooq,Texas Southern,22,20.9560,0.762409,Jr,2001-10-15,
Tucker DeVries,West Virginia,8,34.4750,9.04697,Sr,2002-12-07,
Conor Enright,DePaul,23,29.9913,-2.05052,Jr,2002-10-15,
Jaylen Blakes,Stanford,32,31.0375,4.97202,Sr,2003-04-07,
Birima Seck,Fairfield,21,8.8045,-7.36212,Sr,2002-08-15,
Joe Ostrowsky,Central Connecticut,30,27.7187,0.209467,Sr,2002-10-15,
Davonte Sweatman,Central Connecticut,29,23.1677,-4.67191,Sr,2002-10-15,
Babacar Faye,Western Kentucky,9,27.5900,3.70935,Sr,2002-01-28,
Sean Durugordon,Old Dominion,33,32.1886,0.721257,Jr,2001-05-19,
Dylan Hayman,Incarnate Word,32,34.6556,-0.466059,Sr,2002-10-15,
Samson Johnson,Connecticut,34,19.3441,9.81474,Sr,2002-07-28,
Jace Carter,Texas A&M,33,17.3758,3.85282,Sr,2003-01-14,
Jaden Brownell,Samford,31,19.7879,3.06654,Jr,2002-10-15,
Filip Skobalj,Illinois Chicago,29,27.9969,0.765164,Sr,2002-07-28,
Evan Wilson,Akron,9,3.7400,-13.7286,Sr,2002-10-15,
Jordan Wildy,Lindenwood,26,20.4655,-3.20997,Jr,2002-10-15,
Carter Kingsbury,Iowa,23,7.1478,0.158001,Jr,2001-05-23,
Sekou Kalle,Eastern Illinois,20,8.0864,-6.95161,Sr,2002-10-15,
Nate Johnson,Akron,33,30.1829,2.89649,Sr,2003-06-16,
Tyler Olden,Western Kentucky,7,1.4556,-7.01115,Sr,2002-10-15,
Kobe Johnson,Saint Louis,30,30.6806,1.15494,Sr,2003-01-15,
Roger McFarlane,Boston College,29,24.9241,0.158144,Sr,2002-10-15,
Oluwasegun Durosinmi,Northern Illinois,6,8.4429,-17.6796,Sr,2002-10-15,
Brody Peebles,Belmont,32,16.7697,-3.26367,Sr,2002-10-15,
Bryson Spell,Liberty,10,4.5231,-4.27638,Jr,2002-10-15,
Joseph Venzant,Abilene Christian,6,19.8125,-3.17713,Sr,2002-10-15,
Terrance Jones,Norfolk St.,32,19.2206,-0.734287,Sr,2001-01-14,
Nate Bittle,Oregon,35,27.7371,10.8033,Sr,2003-06-03,
Isaac Johnson,Utah St.,30,8.6967,1.97817,Jr,2002-10-15,
Joshua Streit,Nebraska Omaha,33,19.0600,3.20077,Jr,2002-10-15,
Camryn Weston,Middle Tennessee,32,28.0235,0.813759,Sr,2000-04-03,
D'Marco Dunn,Penn St.,31,21.4097,0.882526,Sr,2003-02-28,
Jayden Jackson,Northern Arizona,29,32.0576,-0.328712,Jr,2002-10-15,
Andrew Morgan,Nebraska,35,19.1971,2.4449,Sr,2002-10-15,
Justin Bufford,Middle Tennessee,32,24.5176,-0.572076,Sr,2002-01-06,
Jackson Peakes,Rice,7,3.9714,-16.1247,Jr,2002-10-15,
Alvaro Cardenas,Boise St.,36,34.8243,4.52688,Sr,2002-04-29,
Myron Amey Jr.,Loyola Marymount,31,20.4781,-0.930682,Sr,2002-10-15,
Zavian McLean,Florida Gulf Coast,31,29.3094,2.30032,Sr,2001-08-31,
O'Mar Stanley,Boise St.,36,17.0486,1.17625,Sr,2001-10-02,
JP Pegues,Auburn,15,9.4133,2.04778,Sr,2002-11-14,
Daniel Nixon,Hampton,3,3.0250,-17.7866,Jr,2002-10-15,
Tevin Smith,Cleveland St.,33,29.2556,2.15902,Sr,2003-03-14,
Tyrese Hughey,Furman,16,7.1211,-5.00022,Sr,2002-10-15,
Jalen Miller,Oral Roberts,26,30.6433,-1.87241,Sr,2003-03-09,
Logan Stephens,Tulane,6,5.8250,-7.32189,Jr,2002-10-15,
Chris Hodges,Wisconsin,15,1.0067,-10.7049,Jr,2002-10-15,
Chucky Hepburn,Louisville,34,34.8206,8.36756,Sr,2003-02-09,
Matthew Mors,South Dakota St.,29,25.8063,1.4784,Jr,2002-10-15,
Markus Ilver,Wisconsin,20,3.4550,0.340232,Sr,2002-01-30,
Diego Campisano,Northern Arizona,26,17.1267,-2.57291,Jr,2002-10-15,
Ernest Ross,Grambling St.,28,21.6226,-3.91498,Sr,2001-11-19,
Abdoulaye Thiam,High Point,33,13.8829,-1.50028,Sr,2002-10-15,
Breon Pass,N.C. State,30,13.9400,0.0180238,Sr,2002-10-15,
Pierre Brooks,Butler,35,33.0486,2.01502,Sr,2002-12-20,
Jaden Akins,Michigan St.,37,27.2459,4.4624,Sr,2003-02-25,
David Pickles,UC Santa Barbara,6,1.6571,-17.0849,Sr,2002-12-03,
Henry Hartwell,UC Santa Barbara,4,1.8000,-30.473,Jr,2002-11-26,
Max Sheldon,UC Santa Barbara,6,1.6571,-25.2799,Sr,2001-08-10,
Samuel Ariyibi,Utah Tech,28,23.1655,1.90291,Jr,2002-01-06,
Trey Alfonso,Southern Miss,12,2.4154,4.53799,Sr,2002-10-15,
Nate Santos,Dayton,33,33.3088,0.0170463,Sr,2001-11-09,
Vasilije Vucinic,Weber St.,29,16.8937,-2.95334,Sr,2001-05-18,
Chika Nduka,Montana St.,26,9.6926,-1.32345,Sr,2002-10-15,
Malik Thomas,San Francisco,33,31.7706,4.48408,Sr,2002-02-04,
Kobe Johnson,UCLA,34,28.9971,9.45172,Sr,2003-01-15,
Harrison Hornery,USC,8,3.6875,9.84829,Sr,2001-07-01,
Isaiah Caldwell,Army,28,19.9000,-5.64438,Sr,2002-10-15,
Bent Leuchten,UC Irvine,38,26.7949,7.12787,Sr,2002-11-06,
Trey Edmonds,Minnesota,23,8.7609,-5.86772,Sr,2002-10-15,
Griff Lamb,Army,2,0.4000,-28.0351,Sr,2002-10-15,
JT Dougherty,Army,7,3.5000,-2.82846,Sr,2002-10-15,
Keller Boothby,William & Mary,30,25.9813,0.255363,Sr,2001-10-15,
Evan Williams,Prairie View A&M,8,8.1556,-7.58353,Sr,2001-10-15,
Hubertas Pivorius,Northern Kentucky,29,12.5742,-5.00259,Sr,2002-11-08,
Zach Bloch,Northern Colorado,32,25.8857,0.725036,Sr,2002-10-15,
Sam Vinson,Northern Kentucky,31,33.1906,0.122637,Sr,2002-08-07,
Zach Hicks,Penn St.,31,31.7290,7.14641,Sr,2003-04-22,
Abdou Samb,Towson,31,8.0438,-0.545189,Jr,2002-10-15,
Ben Knostman,Lehigh,26,20.0393,-2.4648,Sr,2002-10-15,
AJ Burgin,Idaho St.,27,15.9433,-4.66437,Sr,2002-10-15,
Pablo Tamba,UC Davis,30,27.6000,-0.54339,Sr,2003-09-04,
Trey Hicks,Longwood,23,7.9462,-1.33069,Sr,2002-10-15,
Cli'ron Hornbeak,Kent St.,34,20.3806,2.5137,Sr,2002-10-15,
Keith Higgins Jr.,Lehigh,10,32.8750,-2.34737,Sr,2002-10-15,
Jaylani Darden,Norfolk St.,30,24.6727,1.71991,Sr,2002-10-15,
Tyler Whitney-Sidney,Lehigh,28,30.2433,-3.31964,Sr,2002-10-15,
Tamar Bates,Missouri,34,25.9794,6.23519,Sr,2003-02-21,
Logan Duncomb,Winthrop,24,8.0083,-1.19136,Jr,2003-04-17,
Malcolm Chimezie,Boston University,31,21.1531,-2.90683,Sr,2002-10-15,
Curt Hopf,Bellarmine,29,20.1194,-4.13473,Sr,2002-10-15,
Ben Johnson,Bellarmine,16,30.2167,-8.61293,Jr,2002-10-15,
Landin Hacker,Bellarmine,28,17.8000,-4.89038,Jr,2002-10-15,
Jayden Brown,Central Connecticut,30,27.3125,-1.86006,Sr,2001-10-07,
Guy Ragland Jr.,Cornell,27,23.1483,4.0979,Sr,2002-07-20,
Angelo Brizzi,Longwood,29,21.6750,0.305024,So,2001-11-05,
Sam Alamutu,Vermont,31,24.3455,-1.11932,Jr,2002-10-15,
Chase Courbat,Northern Iowa,12,1.7000,-4.99373,Jr,2002-10-15,
Michael Duax,Florida Gulf Coast,33,22.7824,1.37759,So,2003-01-14,
Landon Wolf,Illinois St.,35,20.8917,0.770416,So,2002-10-15,
Ja'Sean Jackson,Lamar,30,27.8515,-1.33646,Sr,2002-07-15,
Cameron Jernigan,Chicago St.,16,17.4125,-9.04117,Sr,2002-10-15,
Wade Taylor IV,Texas A&M,30,30.5100,5.47381,Sr,2003-06-05,
EJ Farmer,Youngstown St.,22,28.3042,-2.60945,Sr,2003-05-16,
Kooper Jacobi,Eastern Illinois,28,33.5032,1.43692,Jr,2002-10-15,
Myles Rice,Indiana,32,27.4281,1.16834,So,2002-12-27,
RJ Kennah,Wake Forest,2,1.4000,-22.5981,Sr,2002-12-17,
Brian Myles,Nicholls St.,3,15.5250,4.70535,Sr,2002-10-15,
Kyle Braun,Pepperdine,13,5.6308,-6.69612,Jr,2001-11-14,
Wyatt Fricks,Marshall,29,12.6065,-0.36218,Sr,2002-11-17,
Glenn Taylor Jr.,Oklahoma,34,19.1000,2.89533,Sr,2002-12-28,
Creighton Thieneman,Marshall,2,2.5667,14.1052,Sr,2001-05-23,
Marcus Banks,UMBC,29,30.4688,-2.59518,Sr,2002-10-15,
Adam Benhayoune,LSU,7,1.3143,-0.629454,Sr,2003-04-21,
Stephen Giwa,Texas A&M Corpus Chris,24,20.8741,2.55813,Sr,2001-10-15,
Boopie Miller,SMU,28,29.1857,2.84532,So,2003-05-01,
Dan Luers,Miami OH,10,8.9833,-4.36111,Sr,2001-10-15,
Jasman Sangha,Canisius,20,24.9350,-6.21779,Sr,1999-04-18,
Christian Tomasco,Temple,3,1.0750,-10.4357,Sr,2002-10-15,
Amar’e Marshall,Albany,30,30.3839,-3.29886,Jr,2002-10-15,
Jason Roche,Richmond,29,22.7097,-1.29911,Sr,2001-11-17,
Griffin Barrouk,Sacred Heart,32,23.1333,-1.99823,Jr,2002-10-15,
Jaquan Carlos,Syracuse,33,28.6909,0.100603,Sr,2002-08-09,
Tyrel Morgan,Texas St.,21,31.6783,4.61325,Sr,2001-03-13,
Jackson Price,Marist,22,22.0318,0.506709,Sr,2003-04-24,
Langdon Hatton,Indiana,19,6.2737,4.16461,Sr,2002-09-30,
Langston Redfield,UC Irvine,7,19.2875,-1.76783,Sr,2002-10-15,
Bryce Johnson,UMBC,27,31.3133,-0.623745,Sr,2002-10-15,
Payton Sparks,Ball St.,28,23.8032,1.14051,Sr,2002-10-24,
Jaylin Sellers,UCF,3,15.7333,-5.22634,Sr,2003-06-03,
Jacobi Wright,South Carolina,32,28.9031,-0.346873,Sr,2002-10-15,
Ali Dibba,Southern Illinois,31,34.0152,0.846317,Jr,2001-05-23,
Jahsean Corbett,Duquesne,30,25.4290,-1.00335,Jr,2002-07-01,
Matthew Marsh,Oregon St.,27,8.3143,-4.19439,Jr,2002-05-15,
Lazar Stefanovic,UCLA,34,16.4588,3.2177,Sr,2002-04-27,
J.R. Konieczny,Notre Dame,32,16.1844,0.335416,Sr,2002-10-15,
Sai Witt,Austin Peay,20,21.8500,-8.792,Sr,1999-10-09,
Bostyn Holt,Florida St.,30,12.7267,-1.83324,Sr,2000-10-15,
Trae English,Nicholls St.,30,21.0273,-1.95432,Jr,2002-10-15,
Sebastian Thomas,Rhode Island,29,35.6655,3.77322,Sr,2002-10-15,
Khalil Brantley,Oklahoma St.,34,20.2735,1.22064,Sr,2002-10-15,
Marcus Randolph,Saint Peter's,27,35.8679,-2.87821,Jr,2003-01-12,
Aidan Noyes,Belmont,27,15.4393,-0.502391,Jr,2002-06-03,
Brandon Dwyer,Florida Gulf Coast,6,1.0167,-16.4593,Sr,2002-10-15,
Charles Ireland,La Salle,2,1.9000,-29.8116,Sr,2002-10-15,
Shane Dezonie,Temple,28,24.7321,0.239787,Jr,2001-09-12,
Noah Reynolds,TCU,31,31.4645,1.00464,Sr,2002-11-11,
Cort Roberson,Wyoming,4,2.6000,-1.52532,Jr,2002-10-15,
Darius Ford,Alabama A&M,29,18.7125,-7.59049,Sr,2001-11-11,
Keaton Norris,Wright St.,27,30.3448,-0.418984,Jr,2002-10-15,
Gabe Dorsey,William & Mary,30,27.8844,1.01573,Sr,2002-09-05,
David Joplin,Marquette,34,31.7824,3.48201,Sr,2002-11-18,
Keeyan Itejere,Northern Kentucky,31,26.8242,0.936083,Jr,2002-10-14,
Riley Mulvey,Iowa,19,7.3263,3.35214,Jr,2002-10-08,
Cameron Brown,Marquette,5,1.4400,-1.75268,Sr,2003-05-03,
Zach Clemence,Kansas,8,5.2625,10.1943,Sr,2002-10-15,
KJ Adams,Kansas,31,30.0484,7.98859,Sr,2002-04-18,
Stevie Mitchell,Marquette,34,27.1971,7.68657,Sr,2003-01-29,
Payton Sandfort,Iowa,33,31.9394,3.52826,Sr,2002-07-12,
Lamaj Lewis,Loyola Marymount,29,6.5733,0.864593,Sr,2002-10-15,
Matthew Cleveland,Miami FL,29,30.3310,1.82876,Sr,2002-09-15,
Bryce Hopkins,Providence,3,30.4667,3.13454,Sr,2001-09-07,49
Daimion Collins,LSU,30,20.4333,5.35662,Sr,2002-10-28,
Philip Byriel,Princeton,26,16.4214,-4.46978,Sr,2002-10-15,
Andre Snoddy,Stony Brook,31,32.6625,-1.6855,Jr,2002-10-15,
Cade Hardtke,Bradley,4,2.0600,8.6998,Sr,2003-03-12,
Camren Hunter,Wisconsin,11,2.0636,-10.3648,Jr,2002-10-15,
Lawson Lovering,Utah,28,23.7857,3.43096,Sr,2003-05-09,
Sam Hennessy,Bradley,4,2.6600,-8.01871,Sr,2003-01-01,
Elias Cato,Central Arkansas,26,30.2536,-5.57446,Sr,2002-10-15,
Connor Hickman,Cincinnati,13,19.7846,0.282085,Jr,2002-06-18,
Javon Ruffin,Colorado,33,20.2970,-1.34215,Jr,2003-03-01,
AJ Clayton,Ohio,28,28.3931,2.73386,Sr,2002-10-15,
Brandon Huntley-Hatfield,N.C. State,26,19.6115,1.57707,Sr,2003-08-06,
Jonas Aidoo,Arkansas,33,18.8697,6.0263,Sr,2002-12-10,
Cam Palesse,Canisius,30,28.6767,-3.05006,So,2002-10-15,
Hercy Miller,Southern Utah,23,16.8269,-5.78294,Sr,2002-03-28,
Preston Ruedinger,Green Bay,26,33.8667,-1.93171,Jr,2002-10-15,
Cameron Crawford,Duquesne,28,23.1345,0.139825,Jr,2002-10-15,
Roosevelt Wheeler,East Tennessee St.,21,9.6696,0.502027,Sr,2005-01-13,
Veljko Ilic,Loyola MD,27,17.8857,-4.92517,Sr,2002-10-15,
Bobby Pettiford,High Point,28,21.4867,3.95596,Sr,2002-10-15,
Matt Allocco,Notre Dame,26,33.4769,3.95256,Sr,2001-01-08,
Jaden Cooper,Columbia,3,11.8333,-7.03388,Sr,2002-08-30,
Sam Klores,Brown,14,5.1133,-9.9186,Sr,2002-10-15,
Jalen Lake,Colorado St.,36,30.9806,2.54748,Sr,2002-10-15,
Aaron Cooley,Brown,26,29.6370,-0.888981,Sr,2002-10-15,
Eli Bennett,Virginia,2,0.8000,98.2074,Jr,2002-10-15,
Tyler Fearne,Charlotte,7,1.3625,7.45416,Sr,2002-10-15,
Robbie Stankard,Columbia,11,6.4923,-4.38877,Sr,2002-05-16,
Jalen Ware,Maryland Eastern Shore,23,17.5037,-6.93181,Sr,2002-10-15,
Bradley Ezewiro,UAB,36,16.3595,-1.08083,Sr,2002-07-03,
Jerrell Colbert,SMU,33,8.4182,5.4379,So,2002-08-27,
Efton Reid,Wake Forest,31,29.5226,3.84817,Sr,2002-02-03,
Brandon Murray,McNeese St.,28,25.0533,3.10551,Sr,2002-02-07,
Kario Oquendo,SMU,35,23.5029,4.40157,Jr,2000-01-28,
Randy Brady,South Alabama,24,18.3308,0.125428,Jr,2002-10-18,
Lucas Taylor,Syracuse,33,21.4939,1.48914,Sr,2002-10-15,
Kirk Cole,Oklahoma St.,7,1.3286,-13.7926,Jr,2002-10-15,
Anthony Pritchard,Central Michigan,27,35.3452,-0.956345,Sr,2003-05-06,
Leo DeBruhl,UC Davis,30,28.6594,-1.46273,Sr,2002-06-17,
Cameron Hildreth,Wake Forest,31,33.7097,3.42985,Sr,2002-09-18,
Duke Deen,Bradley,36,31.8108,2.04376,Sr,2001-12-17,
Wooga Poplar,Villanova,36,31.9194,4.5129,Sr,2003-01-05,
Patrick McMahon,Montana St.,32,23.3273,-1.15965,Jr,2002-10-15,
Jakai Robinson,Bryant,31,20.6000,-1.86097,Jr,2002-04-29,
Isaac Spears,Cal Poly,7,2.6750,-11.1489,Sr,2002-03-14,
Sam Lecholat,Montana St.,31,18.5187,1.08397,Sr,2002-10-15,
Wilhelm Breidenbach,Washington,29,16.8733,1.4375,Sr,2002-08-23,
Oleg Kojenets,Wyoming,22,9.7609,-6.06227,Jr,2003-01-11,
Jaren Johnson,Howard,27,23.7161,-2.53989,Sr,2001-08-31,
Dusan Neskovic,Richmond,30,25.0219,-2.46633,Sr,2000-10-20,
Gabriel McKay,Liberty,29,7.7656,-1.6457,Sr,2000-10-15,
Kuluel Mading,Norfolk St.,32,22.2457,-0.819415,Sr,2002-10-15,
Ian Schieffelin,Clemson,34,33.3765,8.11539,Sr,2003-03-01,
Curtis Jones,Iowa St.,34,30.5029,6.11406,Sr,2001-10-04,
D.J. Hughes,East Tennessee St.,29,15.9290,0.0799175,Sr,2002-10-15,
Zaakir Williamson,Saint Peter's,24,14.8917,-3.31925,Jr,2002-10-15,
Jayden Taylor,N.C. State,31,29.0581,0.858948,Sr,2003-06-01,
Nicolas Louis-Jacques,Colgate,32,28.9727,-3.55738,Sr,2002-01-17,
Josh Ozabor,Bryant,14,4.5313,-10.882,Sr,2002-10-15,
"Antonio ""TJ"" Madlock",Alabama St.,33,29.9176,-0.43042,Sr,2002-01-01,
Jeff Grace,Nebraska,11,1.0182,0.730424,Jr,2002-09-25,
Shane Feden,James Madison,4,1.7167,-5.136,Jr,2002-10-15,
Steven Vasquez Jr.,San Jose St.,9,8.7000,0.739095,Sr,2002-10-15,
Jordan Williams,Arizona St.,7,0.8429,0.375962,Sr,2002-10-15,
Claudell Harris Jr.,Mississippi St.,34,23.0559,3.22302,Sr,2002-10-01,
Zander Yates,Liberty,29,8.1969,0.610586,Jr,2002-10-15,
Nolan Hickman,Gonzaga,35,29.7171,7.64018,Sr,2003-05-07,
Hunter Sallis,Wake Forest,32,35.9250,3.6007,Sr,2003-03-26,
Joe Few,Gonzaga,14,2.6500,-2.3649,Jr,2002-10-15,
Devin Hines,Lafayette,7,22.3750,-8.43753,Sr,2002-10-15,
CJ Fulton,Charleston,31,33.4969,3.26418,Sr,2002-06-24,
Chris Rubayo,Lafayette,4,10.4750,-5.04083,Sr,2003-04-15,
Kaleb Brown,Cal St. Fullerton,27,21.0586,-5.43315,Jr,2002-10-15,
Trevon Brazile,Arkansas,34,20.8853,7.56611,Jr,2003-01-07,35
Anton Brookshire,Austin Peay,29,26.3742,-3.89662,Jr,2002-10-15,
Ivan Reynolds,Houston Christian,13,15.6267,-3.92253,Sr,2002-10-15,
Robby Phillips,Binghamton,5,2.1500,-15.7922,So,2002-10-15,
Makai Willis,Louisiana Monroe,30,30.6594,-4.24765,Sr,2002-10-15,
TJ Gadsden,Hofstra,27,21.9034,-3.48053,Sr,2002-02-18,
Ahamad Bynum,UTEP,27,19.9034,-0.209202,Jr,2002-10-15,
Ansley Almonor,Kentucky,36,14.2222,5.70654,Sr,2002-10-15,
TJ Long,Vermont,8,28.9875,-2.1953,Jr,2004-05-26,
Xzavier Long,Hampton,30,26.3121,2.34805,Jr,2002-12-06,
JC Harris,UMBC,20,10.2130,-4.66615,Sr,2002-10-15,
Daniel Hackett,Manhattan,5,1.1833,-27.9429,Sr,2002-10-15,
Aryan Arora,Manhattan,5,1.1600,-15.868,Sr,2002-10-15,
Daniel Umoh,Mississippi Valley St.,25,10.6615,-8.47666,Sr,2002-10-15,
Kadar Waller,Cal St. Bakersfield,30,17.6969,-2.73287,Sr,2001-10-15,
George Ivory III,Mississippi Valley St.,23,14.4560,-9.34458,Sr,2001-10-15,
Byron Brown,Air Force,31,15.3129,-5.81277,Sr,2002-10-15,
Ethan Taylor,Air Force,32,36.4969,2.08628,Sr,2002-01-06,
Jake Heidbreder,Clemson,32,14.0250,3.61677,Jr,2002-10-15,
Jake Murphy,UNC Wilmington,1,10.6500,-4.43832,Jr,2002-10-15,
Jeffrey Mills,Air Force,32,29.4969,-2.30256,Sr,2002-10-15,
Chase Beasley,Air Force,6,19.5167,-3.33676,Sr,2002-10-15,
Beau Becker,Air Force,18,7.2222,-9.07577,Sr,2002-10-15,
Quinn Guth,Quinnipiac,8,1.5333,-16.3421,Sr,2002-10-15,
Timmy Adedire,North Carolina Central,29,24.6667,-3.32674,Sr,2002-10-15,
James Cooper,Oregon,6,2.0833,4.49878,Sr,2002-10-15,
Justus Jackson,Tennessee St.,29,28.7250,-4.20793,Jr,2002-10-15,
Daniel Nauseef,Clemson,7,1.0143,-14.1427,Sr,2002-10-15,
Evan Nelson,Harvard,26,27.2667,-1.23447,Sr,2002-10-15,
Zach Riley,Fordham,32,17.5576,-1.15887,Sr,2003-06-03,
Ryan Donohoo,UAB,4,1.4600,-20.9469,Sr,2002-10-15,
Justice Smith,Niagara,22,23.3913,-2.51438,Sr,2002-10-15,
Ryan Abelman,Northern Arizona,29,18.3909,-1.12695,Jr,2003-10-15,
Jack Wistrcill,Northern Arizona,12,11.8375,-7.87101,Jr,2003-10-15,
Noah Feddersen,North Dakota St.,29,25.2031,1.24462,So,2003-10-15,
Lance Waddles,Nebraska Omaha,33,20.8943,-1.08761,Jr,2003-10-15,
Oakland Fort,Northern Arizona,25,16.3172,-4.57845,Jr,2003-10-15,
C.J. Ford,Northern Arizona,8,3.5583,-19.3204,Jr,2003-10-15,
Jah Nze,Mercer,20,13.3273,-3.25055,Jr,2003-10-15,
Cedric Coward,Washington St.,6,33.0500,8.03868,Sr,2003-09-11,11
Mohamed Keita,Temple,17,4.4778,0.289957,Jr,2003-03-20,
Kendall Blue,St. Thomas,31,27.1235,1.57481,Jr,2003-10-15,
Ryan Conwell,Xavier,34,33.0000,5.30786,Jr,2004-06-15,37
Dok Muordar,Monmouth,31,14.9774,1.93845,Jr,2003-10-15,
William Kyle III,UCLA,32,9.7938,6.93212,Jr,2004-03-01,
Rasheer Fleming,Saint Joseph's,35,31.2457,6.78101,Jr,2004-07-10,31
Kolby King,Butler,34,18.8382,1.58321,Jr,2003-11-20,
Christian Winborne,Iona,15,17.3067,-4.22997,Jr,2003-10-15,
Austin Benigni,Navy,33,33.7853,-2.01581,Jr,2003-10-15,
